epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1614.7,1.88007,3.56621,1.93083,0.18914,0.19246,0.04002,0.0174,2.06752,6.59335,2.21806,0.00166538,0.00166538,0.0683578
2,1807.45,1.80314,3.35282,1.89599,0.22992,0.16219,0.06034,0.03036,1.76982,4.47612,1.97136,0.0033238,0.0033238,0.0366829
3,1996.71,1.70909,3.18824,1.80503,0.14001,0.22069,0.11233,0.05818,1.64461,2.8134,1.77119,0.00497397,0.00497397,0.00499977
4,2184.38,1.63184,2.99278,1.74401,0.16418,0.23844,0.14011,0.07581,1.56329,2.64747,1.73328,0.00496288,0.00496288,0.00496288
5,2372.97,1.58564,2.86762,1.69995,0.14215,0.2124,0.08663,0.04754,1.62179,3.11136,1.84588,0.0049505,0.0049505,0.0049505
6,2560.18,1.55308,2.81669,1.67738,0.28285,0.2269,0.14107,0.07906,1.51523,2.74631,1.69975,0.00493813,0.00493813,0.00493813
7,2749.55,1.52607,2.73915,1.65672,0.15213,0.20794,0.10663,0.0618,1.55718,2.81354,1.7261,0.00492575,0.00492575,0.00492575
8,2938.05,1.50405,2.67512,1.63379,0.30778,0.29355,0.16892,0.09883,1.49216,2.43924,1.65006,0.00491338,0.00491338,0.00491338
9,3127.46,1.47264,2.58797,1.6136,0.21852,0.3098,0.17827,0.10219,1.44799,2.46872,1.63662,0.004901,0.004901,0.004901
10,3316.14,1.45574,2.56087,1.60197,0.21282,0.30311,0.17706,0.10299,1.46252,2.51346,1.65706,0.00488863,0.00488863,0.00488863
11,3503.79,1.45434,2.52178,1.59667,0.2404,0.33293,0.20912,0.12398,1.438,2.31742,1.64022,0.00487625,0.00487625,0.00487625
12,3692.33,1.44429,2.4974,1.59558,0.22774,0.303,0.21405,0.12775,1.38412,2.30865,1.60371,0.00486388,0.00486388,0.00486388
13,3881.54,1.42444,2.45897,1.58372,0.2562,0.34113,0.21944,0.1308,1.38687,2.26211,1.5951,0.0048515,0.0048515,0.0048515
14,4070.22,1.4129,2.40799,1.56764,0.26395,0.33506,0.23809,0.14305,1.37046,2.21292,1.58567,0.00483913,0.00483913,0.00483913
15,4259.26,1.40244,2.38013,1.56037,0.27051,0.32208,0.22851,0.13864,1.37878,2.20178,1.57838,0.00482675,0.00482675,0.00482675
16,4447.72,1.39893,2.34106,1.55791,0.27565,0.34888,0.24619,0.14619,1.3823,2.18746,1.59091,0.00481438,0.00481438,0.00481438
17,4637.6,1.38243,2.32147,1.54872,0.31149,0.35763,0.25859,0.15234,1.36522,2.17133,1.5727,0.004802,0.004802,0.004802
18,4827.4,1.36878,2.27163,1.5327,0.34409,0.33899,0.27426,0.16601,1.3804,2.11001,1.58763,0.00478963,0.00478963,0.00478963
19,5016.11,1.35553,2.25249,1.52919,0.30672,0.35088,0.27679,0.16941,1.36046,2.13175,1.57118,0.00477725,0.00477725,0.00477725
20,5204.93,1.36157,2.21903,1.52915,0.32795,0.37125,0.29785,0.18256,1.33041,2.028,1.53601,0.00476488,0.00476488,0.00476488
21,5393.45,1.3509,2.21155,1.51823,0.31468,0.3708,0.29573,0.17924,1.35087,2.05137,1.56098,0.0047525,0.0047525,0.0047525
22,5580.67,1.33314,2.163,1.50678,0.33923,0.38683,0.31564,0.19745,1.3192,1.99042,1.5244,0.00474013,0.00474013,0.00474013
23,5770.02,1.33728,2.16014,1.50385,0.39055,0.37723,0.32133,0.20153,1.32111,1.95237,1.51817,0.00472775,0.00472775,0.00472775
24,5958.68,1.33233,2.12037,1.50019,0.391,0.38144,0.34004,0.21026,1.30934,1.89518,1.51073,0.00471537,0.00471537,0.00471537
25,6147.99,1.31451,2.10044,1.48299,0.37353,0.39399,0.34141,0.21167,1.31949,1.90216,1.51303,0.004703,0.004703,0.004703
26,6337.46,1.31595,2.08424,1.48642,0.37188,0.3912,0.33509,0.20903,1.31777,1.88923,1.52232,0.00469063,0.00469063,0.00469063
27,6525.57,1.31485,2.07579,1.48529,0.38549,0.41186,0.35187,0.22006,1.29751,1.84974,1.49525,0.00467825,0.00467825,0.00467825
28,6716.29,1.30553,2.02608,1.48826,0.39956,0.39645,0.35369,0.22447,1.29026,1.86711,1.50808,0.00466587,0.00466587,0.00466587
29,6907.74,1.30829,2.0332,1.47853,0.42448,0.39647,0.37221,0.23297,1.29356,1.83015,1.48803,0.0046535,0.0046535,0.0046535
30,7097.36,1.30764,2.02567,1.48069,0.39781,0.42176,0.37284,0.23763,1.29587,1.80046,1.49878,0.00464113,0.00464113,0.00464113
31,7286.72,1.29192,1.9851,1.47082,0.41358,0.43114,0.38463,0.24364,1.27857,1.80909,1.49165,0.00462875,0.00462875,0.00462875
32,7482.79,1.28965,1.98222,1.46275,0.41744,0.42289,0.38827,0.24406,1.27354,1.77591,1.48474,0.00461637,0.00461637,0.00461637
33,7677.04,1.29164,1.96517,1.46281,0.43387,0.41948,0.39546,0.25181,1.27022,1.75564,1.47939,0.004604,0.004604,0.004604
34,7866.08,1.27406,1.93266,1.45194,0.40472,0.45375,0.39567,0.25446,1.24853,1.75171,1.46088,0.00459163,0.00459163,0.00459163
35,8056.61,1.28403,1.94349,1.458,0.41381,0.43918,0.3933,0.25097,1.25593,1.74906,1.46493,0.00457925,0.00457925,0.00457925
36,8244.94,1.27514,1.91787,1.44552,0.44898,0.4398,0.40189,0.25838,1.2464,1.72947,1.44982,0.00456687,0.00456687,0.00456687
37,8434.88,1.27279,1.90626,1.43994,0.43481,0.45282,0.41338,0.26539,1.25303,1.70722,1.45106,0.0045545,0.0045545,0.0045545
38,8624.9,1.2658,1.88133,1.43718,0.45025,0.46029,0.42496,0.27658,1.25144,1.69395,1.45273,0.00454213,0.00454213,0.00454213
39,8814.01,1.25249,1.8531,1.43639,0.48154,0.40855,0.41437,0.26534,1.24259,1.70109,1.45524,0.00452975,0.00452975,0.00452975
40,9001.73,1.26069,1.86816,1.43276,0.48193,0.43727,0.42357,0.27233,1.23754,1.67212,1.44754,0.00451737,0.00451737,0.00451737
41,9189.7,1.25014,1.8354,1.42211,0.47238,0.45239,0.42936,0.27656,1.25499,1.66207,1.45115,0.004505,0.004505,0.004505
42,9377.78,1.24552,1.82039,1.41929,0.45689,0.46492,0.42319,0.27369,1.24385,1.67533,1.44311,0.00449263,0.00449263,0.00449263
43,9565.89,1.24069,1.80328,1.41461,0.46524,0.47151,0.43718,0.2832,1.24089,1.65314,1.44374,0.00448025,0.00448025,0.00448025
44,9755.39,1.23567,1.81249,1.41522,0.49819,0.44606,0.44043,0.28595,1.23415,1.6437,1.43499,0.00446788,0.00446788,0.00446788
45,9943.51,1.24047,1.80745,1.41145,0.48555,0.44455,0.44742,0.28822,1.23567,1.62448,1.43226,0.0044555,0.0044555,0.0044555
46,10131.6,1.22983,1.7677,1.40263,0.48226,0.46132,0.44783,0.28853,1.24048,1.63089,1.4341,0.00444313,0.00444313,0.00444313
47,10320.6,1.22907,1.76742,1.40812,0.4804,0.46375,0.45989,0.30026,1.22987,1.61022,1.43336,0.00443075,0.00443075,0.00443075
