epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5484.32,1.36911,2.19446,1.48705,0.37604,0.40016,0.34175,0.20989,1.28083,1.95609,1.45934,0.00449263,0.00449263,0.00449263
43,5600.18,1.36211,2.1852,1.47774,0.37677,0.41922,0.34703,0.21464,1.25109,1.90281,1.43192,0.00448025,0.00448025,0.00448025
44,5715.8,1.35768,2.18778,1.47841,0.40646,0.39373,0.35206,0.21682,1.26095,1.90519,1.43234,0.00446788,0.00446788,0.00446788
45,5832.01,1.34591,2.15035,1.46826,0.38962,0.4208,0.35184,0.21643,1.26647,1.90247,1.43886,0.0044555,0.0044555,0.0044555
46,5946.9,1.3558,2.16453,1.47016,0.41905,0.38859,0.36389,0.22435,1.23791,1.91222,1.41919,0.00444313,0.00444313,0.00444313
47,6062.7,1.34763,2.14464,1.46699,0.428,0.42272,0.36414,0.2242,1.26735,1.89676,1.43071,0.00443075,0.00443075,0.00443075
48,6177.64,1.34043,2.14196,1.46325,0.38689,0.43987,0.36567,0.22773,1.25406,1.8668,1.43755,0.00441838,0.00441838,0.00441838
49,6293.26,1.33578,2.1146,1.4583,0.38188,0.43447,0.35921,0.23007,1.24244,1.88681,1.42216,0.004406,0.004406,0.004406
50,6408.59,1.34476,2.1137,1.47023,0.40644,0.4154,0.35801,0.22195,1.25912,1.8849,1.43038,0.00439362,0.00439362,0.00439362
51,6523.44,1.33712,2.13351,1.46207,0.42619,0.41224,0.37451,0.23115,1.25292,1.86973,1.42562,0.00438125,0.00438125,0.00438125
52,6638.65,1.32879,2.08114,1.45375,0.39548,0.43559,0.3724,0.23325,1.24491,1.86363,1.42167,0.00436888,0.00436888,0.00436888
53,6754.6,1.3245,2.06887,1.44976,0.43683,0.43495,0.38949,0.24974,1.23788,1.79182,1.40867,0.0043565,0.0043565,0.0043565
54,6870.04,1.32545,2.04926,1.43988,0.426,0.45676,0.39323,0.24538,1.23779,1.79816,1.4189,0.00434412,0.00434412,0.00434412
55,6985.06,1.31148,2.03109,1.43869,0.41627,0.43077,0.38594,0.24146,1.24334,1.80327,1.4194,0.00433175,0.00433175,0.00433175
56,7099.6,1.30659,2.01789,1.43385,0.44018,0.43161,0.38852,0.24249,1.24006,1.80019,1.42068,0.00431938,0.00431938,0.00431938
57,7214.17,1.31451,2.00517,1.42946,0.47145,0.42043,0.40358,0.25631,1.23741,1.77635,1.40907,0.004307,0.004307,0.004307
58,7329.68,1.31212,2.04839,1.43492,0.42723,0.46355,0.39775,0.25442,1.22914,1.79076,1.3964,0.00429463,0.00429463,0.00429463
59,7445.11,1.29416,2.00233,1.41653,0.44552,0.45348,0.40301,0.25642,1.22317,1.76186,1.38833,0.00428225,0.00428225,0.00428225
60,7560.43,1.29237,2.00274,1.42131,0.47529,0.43159,0.40732,0.25678,1.22828,1.75248,1.39577,0.00426988,0.00426988,0.00426988
61,7675.62,1.30418,1.98555,1.42808,0.46537,0.46852,0.41519,0.25827,1.22455,1.74721,1.3952,0.0042575,0.0042575,0.0042575
62,7791.44,1.29111,1.96855,1.41611,0.41867,0.45399,0.39802,0.25254,1.22424,1.74855,1.40053,0.00424513,0.00424513,0.00424513
63,7906.67,1.28827,1.97498,1.42361,0.43606,0.46799,0.41261,0.26248,1.21299,1.73155,1.39044,0.00423275,0.00423275,0.00423275
64,8022.14,1.29072,1.94206,1.42035,0.45946,0.44954,0.41569,0.26581,1.22484,1.72341,1.39517,0.00422038,0.00422038,0.00422038
65,8137.69,1.27601,1.94399,1.40821,0.47346,0.45851,0.43802,0.27581,1.22,1.70718,1.38804,0.004208,0.004208,0.004208
66,8253.23,1.27199,1.91536,1.4106,0.44729,0.45953,0.42668,0.27519,1.21743,1.71143,1.39404,0.00419563,0.00419563,0.00419563
67,8368.12,1.29334,1.94213,1.41837,0.44328,0.47546,0.42096,0.26931,1.21279,1.71868,1.38596,0.00418325,0.00418325,0.00418325
68,8483.2,1.28082,1.92928,1.4121,0.44254,0.48821,0.43375,0.27779,1.21598,1.69139,1.38456,0.00417088,0.00417088,0.00417088
69,8599,1.28155,1.88951,1.40487,0.44848,0.49226,0.43399,0.27898,1.21542,1.67812,1.37744,0.0041585,0.0041585,0.0041585
70,8714.45,1.26512,1.87581,1.39957,0.43688,0.49377,0.43193,0.27814,1.2186,1.67191,1.39014,0.00414612,0.00414612,0.00414612
71,8829.04,1.26536,1.90211,1.39351,0.46182,0.50094,0.44429,0.2898,1.21354,1.6535,1.37538,0.00413375,0.00413375,0.00413375
72,8944.78,1.26349,1.87996,1.39249,0.49796,0.48619,0.44822,0.29013,1.20899,1.65698,1.37526,0.00412138,0.00412138,0.00412138
73,9060.03,1.25783,1.88113,1.38286,0.44268,0.49752,0.44146,0.28497,1.21786,1.65149,1.38076,0.004109,0.004109,0.004109
74,9175.15,1.25166,1.83746,1.38032,0.46878,0.49313,0.44771,0.28409,1.21952,1.64953,1.37809,0.00409662,0.00409662,0.00409662
75,9290.17,1.25833,1.85555,1.38227,0.45574,0.51119,0.44361,0.2881,1.21534,1.66628,1.37605,0.00408425,0.00408425,0.00408425
76,9405.23,1.24553,1.85206,1.3799,0.46362,0.48257,0.44672,0.28996,1.21023,1.66387,1.37803,0.00407187,0.00407187,0.00407187
77,9519.91,1.25366,1.85129,1.38376,0.47419,0.48235,0.44937,0.2951,1.19856,1.64981,1.36839,0.0040595,0.0040595,0.0040595
78,9635.16,1.24745,1.8376,1.37101,0.49552,0.44596,0.44961,0.29236,1.21283,1.63898,1.37765,0.00404712,0.00404712,0.00404712
79,9749.7,1.25152,1.81686,1.38388,0.44927,0.49997,0.456,0.29608,1.20229,1.63259,1.36839,0.00403475,0.00403475,0.00403475
80,9865.06,1.24492,1.81915,1.37573,0.47035,0.49205,0.45563,0.29406,1.20844,1.63793,1.37158,0.00402237,0.00402237,0.00402237
81,9979.53,1.2365,1.80758,1.37351,0.49352,0.47535,0.45443,0.29407,1.19207,1.64001,1.36542,0.00401,0.00401,0.00401
82,10094.3,1.24056,1.80838,1.36997,0.488,0.46833,0.46048,0.29871,1.19219,1.61551,1.36037,0.00399763,0.00399763,0.00399763
83,10209.6,1.2472,1.81395,1.37321,0.44592,0.54084,0.46722,0.30367,1.19495,1.5905,1.36123,0.00398525,0.00398525,0.00398525
84,10324.7,1.24652,1.78381,1.37533,0.47948,0.49791,0.46407,0.30799,1.19224,1.58059,1.36281,0.00397287,0.00397287,0.00397287
85,10440,1.23727,1.78011,1.36276,0.45736,0.51988,0.46373,0.30659,1.18921,1.58632,1.35787,0.0039605,0.0039605,0.0039605
86,10554.6,1.23607,1.78488,1.36228,0.46029,0.499,0.46756,0.30913,1.19324,1.60148,1.36082,0.00394813,0.00394813,0.00394813
