epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1183.39,2.02207,3.90263,2.00165,0.39832,0.0517,0.01051,0.00369,2.86596,8.3769,2.79814,0.00166457,0.00166457,0.0683732
2,1302.04,1.95753,3.71338,1.99389,0.05026,0.18014,0.03019,0.01269,1.98491,4.8388,2.06368,0.00332299,0.00332299,0.0366983
3,1419.83,1.86693,3.52667,1.92059,0.2086,0.1111,0.06113,0.02876,1.94557,3.69491,2.0037,0.00497316,0.00497316,0.00501509
4,1537.12,1.79769,3.39574,1.87055,0.22676,0.15083,0.06515,0.03077,1.70179,3.74696,1.91221,0.00496288,0.00496288,0.00496288
5,1654.37,1.75325,3.27826,1.82735,0.22097,0.17184,0.08489,0.04243,1.73276,3.25827,1.83233,0.0049505,0.0049505,0.0049505
6,1771.1,1.69762,3.18382,1.77647,0.18854,0.19523,0.1209,0.06195,1.56087,2.8662,1.72,0.00493813,0.00493813,0.00493813
7,1887.11,1.67585,3.09966,1.76526,0.32249,0.19281,0.13697,0.07573,1.55167,2.71724,1.69795,0.00492575,0.00492575,0.00492575
8,2003.39,1.64019,3.01463,1.72706,0.15291,0.26938,0.12616,0.06805,1.51417,2.8419,1.67464,0.00491338,0.00491338,0.00491338
9,2118.49,1.59857,2.92197,1.68585,0.16278,0.21695,0.12052,0.06798,1.55278,2.79279,1.66477,0.004901,0.004901,0.004901
10,2233.22,1.5979,2.92366,1.69957,0.12373,0.22862,0.10826,0.05939,1.48283,2.92428,1.67289,0.00488863,0.00488863,0.00488863
11,2347.92,1.58286,2.88309,1.6744,0.15725,0.20526,0.12022,0.06433,1.53905,2.95343,1.64582,0.00487625,0.00487625,0.00487625
12,2463.21,1.57717,2.82845,1.66013,0.30692,0.23485,0.14984,0.08459,1.46878,2.8212,1.60195,0.00486388,0.00486388,0.00486388
13,2579.07,1.5603,2.81358,1.65373,0.30843,0.27168,0.16492,0.08901,1.46808,2.64072,1.61729,0.0048515,0.0048515,0.0048515
14,2694.44,1.55155,2.76755,1.63822,0.18448,0.25192,0.16093,0.09215,1.39738,2.57085,1.57292,0.00483913,0.00483913,0.00483913
15,2810.23,1.52753,2.72093,1.62678,0.34564,0.298,0.18273,0.10307,1.41153,2.48277,1.60941,0.00482675,0.00482675,0.00482675
16,2926.26,1.53417,2.72998,1.62964,0.30795,0.28537,0.1815,0.09828,1.41795,2.44933,1.57641,0.00481438,0.00481438,0.00481438
17,3041.72,1.50211,2.66303,1.60769,0.20125,0.31314,0.19412,0.10821,1.39296,2.40466,1.54953,0.004802,0.004802,0.004802
18,3157.88,1.50565,2.65229,1.59936,0.23202,0.31087,0.19981,0.11247,1.37509,2.43876,1.54835,0.00478963,0.00478963,0.00478963
19,3274.82,1.48829,2.61983,1.59,0.35395,0.27493,0.20548,0.11836,1.37714,2.38375,1.55883,0.00477725,0.00477725,0.00477725
