epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.527,2.17875,4.1915,2.22552,0.1463,0.02015,0.00476,0.00172,3.86013,6.21296,4.99216,0.00332914,0.00332914,0.0700377
2,990.533,2.05381,3.94031,2.14934,0.64712,0.03395,0.01227,0.00556,2.10982,12.6828,2.29003,0.00664029,0.00664029,0.0400155
3,1219.95,1.94769,3.74204,2.04485,0.20257,0.11957,0.04061,0.01717,2.05164,5.01133,2.13614,0.00992924,0.00992924,0.00997116
4,1445.26,1.86554,3.58096,1.97551,0.3184,0.15069,0.05791,0.02975,1.71328,3.69773,1.94362,0.0099001,0.0099001,0.0099001
5,1666.25,1.81126,3.44089,1.91119,0.19249,0.18336,0.07126,0.03744,1.6418,3.76177,1.86536,0.0098668,0.0098668,0.0098668
6,1892,1.7465,3.3461,1.86632,0.13177,0.17482,0.08968,0.04538,1.59714,3.03228,1.79764,0.0098335,0.0098335,0.0098335
7,2123.16,1.73333,3.24838,1.8573,0.26484,0.19086,0.10025,0.05318,1.61189,2.96907,1.82976,0.0098002,0.0098002,0.0098002
8,2372.92,1.69681,3.17923,1.82426,0.14359,0.16751,0.11349,0.06295,1.54194,2.97288,1.772,0.0097669,0.0097669,0.0097669
9,2621.25,1.66357,3.10199,1.79217,0.15325,0.21142,0.11132,0.05764,1.58975,2.89873,1.76725,0.0097336,0.0097336,0.0097336
10,2872.21,1.64411,3.06886,1.78116,0.13434,0.20914,0.09559,0.05026,1.56395,3.21584,1.80147,0.0097003,0.0097003,0.0097003
11,3122.79,1.65066,3.03434,1.77492,0.16856,0.24034,0.11826,0.05874,1.55189,2.97073,1.75843,0.009667,0.009667,0.009667
12,3373.15,1.63757,2.99409,1.75884,0.29293,0.23473,0.13056,0.06978,1.46671,2.89665,1.65713,0.0096337,0.0096337,0.0096337
