epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11365.2,1.72472,3.14731,1.81478,0.16842,0.23114,0.09406,0.04988,1.58921,3.02246,1.79397,0.00166644,0.00166644,0.0683377
2,12390.3,1.59146,2.81741,1.72492,0.259,0.33602,0.21267,0.12462,1.38524,2.22769,1.59486,0.00332485,0.00332485,0.0366628
3,13406.2,1.50512,2.58366,1.65365,0.33718,0.37699,0.28566,0.17436,1.31316,2.02218,1.52501,0.00497502,0.00497502,0.00497962
4,17106.8,1.44572,2.39493,1.6023,0.38142,0.41047,0.33787,0.20798,1.27591,1.87243,1.49706,0.00496288,0.00496288,0.00496288
5,18115.3,1.40488,2.27816,1.56639,0.37833,0.44396,0.37784,0.23776,1.25289,1.77415,1.47173,0.0049505,0.0049505,0.0049505
6,19127.6,1.37267,2.17257,1.53504,0.40575,0.46665,0.3954,0.24954,1.23885,1.70734,1.44844,0.00493813,0.00493813,0.00493813
7,20136.8,1.35211,2.09336,1.51963,0.42654,0.47402,0.42276,0.26937,1.2227,1.63922,1.44262,0.00492575,0.00492575,0.00492575
8,21145.3,1.32799,2.02936,1.49777,0.4725,0.46511,0.4419,0.28233,1.2054,1.59917,1.42062,0.00491338,0.00491338,0.00491338
9,22157.7,1.31178,1.96747,1.48421,0.45812,0.50877,0.45547,0.29206,1.19505,1.55494,1.41227,0.004901,0.004901,0.004901
10,23170.6,1.29722,1.92164,1.46842,0.46045,0.52504,0.47075,0.30422,1.19028,1.52968,1.40332,0.00488863,0.00488863,0.00488863
11,24180.9,1.28561,1.88042,1.45357,0.48075,0.51503,0.47875,0.31071,1.18367,1.50943,1.39303,0.00487625,0.00487625,0.00487625
12,25190.8,1.27069,1.84589,1.44148,0.50872,0.505,0.4901,0.31917,1.1742,1.48467,1.3843,0.00486388,0.00486388,0.00486388
13,26212.7,1.26183,1.80523,1.43183,0.5047,0.51648,0.49737,0.32533,1.16823,1.47742,1.37074,0.0048515,0.0048515,0.0048515
14,27220,1.25261,1.77775,1.42661,0.51605,0.51167,0.49924,0.32684,1.17423,1.51021,1.36077,0.00483913,0.00483913,0.00483913
15,28228.2,1.24293,1.74477,1.41795,0.53344,0.50425,0.49335,0.32473,1.18109,1.54117,1.35428,0.00482675,0.00482675,0.00482675
16,29234.3,1.23701,1.71408,1.41158,0.53091,0.48458,0.47165,0.31161,1.17247,1.46886,1.34607,0.00481438,0.00481438,0.00481438
17,30239,1.2282,1.68901,1.40264,0.41938,0.48935,0.35057,0.22921,1.16494,1.83623,1.34143,0.004802,0.004802,0.004802
18,31244.4,1.21967,1.67161,1.39313,0.33328,0.51864,0.28499,0.18455,1.15716,20.8396,1.33665,0.00478963,0.00478963,0.00478963
19,32248.2,1.20796,1.63604,1.38387,0.19948,0.50637,0.15002,0.09726,1.15184,inf,1.33465,0.00477725,0.00477725,0.00477725
20,33254.8,1.20304,1.61274,1.37817,0.00034,0.02226,3e-05,1e-05,1.15685,inf,1.34854,0.00476488,0.00476488,0.00476488
21,34268.5,1.19512,1.5978,1.3665,0.00012,0.01072,0,0,1.18707,inf,1.39625,0.0047525,0.0047525,0.0047525
22,35290,1.19031,1.57306,1.36553,5e-05,0.00954,0,0,1.19316,inf,1.43934,0.00474013,0.00474013,0.00474013
23,36306.1,1.18128,1.55882,1.358,2e-05,0.00612,0,0,1.17644,inf,1.45884,0.00472775,0.00472775,0.00472775
24,37326.6,1.17921,1.53222,1.35202,3e-05,0.00595,0,0,1.15514,inf,1.46359,0.00471537,0.00471537,0.00471537
25,38356.1,1.17133,1.5148,1.34617,1e-05,0.0042,0,0,1.14925,inf,1.47391,0.004703,0.004703,0.004703
26,39380,1.1664,1.49329,1.33826,2e-05,0.0053,0,0,1.14451,inf,1.47867,0.00469063,0.00469063,0.00469063
27,40413.1,1.16098,1.47355,1.33438,2e-05,0.00643,0,0,1.13353,inf,1.4767,0.00467825,0.00467825,0.00467825
28,41438.7,1.15177,1.44896,1.32751,2e-05,0.00575,0,0,1.12671,inf,1.46865,0.00466587,0.00466587,0.00466587
29,42466.3,1.14949,1.44583,1.32213,2e-05,0.00625,0,0,1.1177,inf,1.45417,0.0046535,0.0046535,0.0046535
30,43494.2,1.14094,1.429,1.31775,2e-05,0.00625,0,0,1.10895,inf,1.44323,0.00464113,0.00464113,0.00464113
31,44521.3,1.14142,1.40671,1.31312,2e-05,0.00667,0,0,1.10362,inf,1.43781,0.00462875,0.00462875,0.00462875
