epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.279,2.16883,4.13799,2.16025,0.15552,0.1573,0.01872,0.00643,2.33205,15.2348,2.46543,0.00332914,0.00332914,0.0700377
2,368.093,2.06242,3.89155,2.09557,0.39776,0.03136,0.00647,0.00323,2.47873,9.6234,2.78729,0.00664029,0.00664029,0.0400155
3,487.58,1.93374,3.66861,2.00276,0.31649,0.04582,0.01916,0.00849,2.05802,22.3708,2.25913,0.00992924,0.00992924,0.00997116
4,606.098,1.8536,3.54032,1.95768,0.31418,0.11642,0.0559,0.02831,1.80127,3.99422,1.97491,0.0099001,0.0099001,0.0099001
5,724.268,1.78648,3.38454,1.88025,0.25787,0.13454,0.06183,0.03398,1.65661,4.16465,1.83148,0.0098668,0.0098668,0.0098668
6,842.905,1.74723,3.25317,1.84813,0.13645,0.159,0.09788,0.05245,1.61535,3.10603,1.83949,0.0098335,0.0098335,0.0098335
7,961.65,1.69801,3.20675,1.81885,0.13142,0.17646,0.096,0.04916,1.59626,3.15125,1.84203,0.0098002,0.0098002,0.0098002
8,1079.63,1.69064,3.13962,1.80757,0.12919,0.18569,0.0893,0.04817,1.69261,3.51399,1.82421,0.0097669,0.0097669,0.0097669
9,1197.01,1.67468,3.09162,1.80646,0.26166,0.21775,0.12056,0.06399,1.54473,2.80305,1.74691,0.0097336,0.0097336,0.0097336
10,1315.78,1.67685,3.0403,1.79587,0.15175,0.23698,0.11658,0.06227,1.50206,2.79056,1.70466,0.0097003,0.0097003,0.0097003
11,1433.35,1.63929,2.99504,1.77481,0.17875,0.22983,0.12602,0.06574,1.50045,3.0103,1.70595,0.009667,0.009667,0.009667
12,1551.75,1.60649,2.94573,1.73904,0.1593,0.22315,0.10722,0.05752,1.52979,3.08207,1.7065,0.0096337,0.0096337,0.0096337
13,1668.98,1.60362,2.89925,1.73347,0.16412,0.25818,0.14744,0.085,1.48409,2.6889,1.69511,0.0096004,0.0096004,0.0096004
14,1787.06,1.59112,2.86818,1.71313,0.14705,0.26533,0.13727,0.07596,1.42635,2.7208,1.6204,0.0095671,0.0095671,0.0095671
15,1904.34,1.57396,2.83646,1.70201,0.22349,0.26888,0.15116,0.08156,1.46628,2.63467,1.6662,0.0095338,0.0095338,0.0095338
16,2022.01,1.54977,2.7942,1.68746,0.30888,0.28512,0.1622,0.08796,1.46347,2.58177,1.65631,0.0095005,0.0095005,0.0095005
17,2140.64,1.55988,2.77092,1.67716,0.21292,0.30599,0.16719,0.09446,1.43043,2.51518,1.6239,0.0094672,0.0094672,0.0094672
18,2258.66,1.54783,2.74994,1.66899,0.32392,0.26087,0.15884,0.09014,1.41218,2.60344,1.62783,0.0094339,0.0094339,0.0094339
19,2376.38,1.52631,2.72842,1.65121,0.17452,0.254,0.14512,0.07684,1.44336,2.72466,1.64595,0.0094006,0.0094006,0.0094006
20,2494.19,1.5372,2.70364,1.66947,0.21508,0.32136,0.17353,0.0969,1.41607,2.55533,1.59637,0.0093673,0.0093673,0.0093673
21,2612.53,1.50929,2.66047,1.64413,0.21958,0.33205,0.18808,0.10753,1.39512,2.44388,1.6124,0.009334,0.009334,0.009334
22,2730.68,1.50833,2.65745,1.63885,0.33151,0.26358,0.1845,0.10461,1.38881,2.43977,1.5888,0.0093007,0.0093007,0.0093007
23,2847.85,1.49864,2.64712,1.6386,0.21258,0.32294,0.20494,0.11287,1.3849,2.41967,1.59799,0.0092674,0.0092674,0.0092674
24,2966.06,1.49804,2.62632,1.62764,0.37291,0.28421,0.20425,0.11282,1.38869,2.37538,1.58087,0.0092341,0.0092341,0.0092341
25,3083.29,1.48051,2.5871,1.60345,0.25691,0.32622,0.21808,0.12294,1.37677,2.34959,1.54271,0.0092008,0.0092008,0.0092008
